Record_ID,Compound_ID,Compound_Name,SMILES,StdInChl,StdInChIKey,Degradation_Target,Recruiter,Recruiter_UniProtID,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
810,747,FPFT-2216,COC1=CSC=C1C1=CN(C2CCC(=O)NC2=O)N=N1,"InChI=1S/C12H12N4O3S/c1-19-10-6-20-5-7(10)8-4-16(15-14-8)9-2-3-11(17)13-12(9)18/h4-6,9H,2-3H2,1H3,(H,13,17,18)",SKUSCUALKIOIST-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,<0.01,μM,,,,,https://doi.org/10.1016/j.bmcl.2025.130193,SKUSCUALKIOIST
810,747,FPFT-2216,COC1=CSC=C1C1=CN(C2CCC(=O)NC2=O)N=N1,"InChI=1S/C12H12N4O3S/c1-19-10-6-20-5-7(10)8-4-16(15-14-8)9-2-3-11(17)13-12(9)18/h4-6,9H,2-3H2,1H3,(H,13,17,18)",SKUSCUALKIOIST-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,,<0.01,μM,,,,,https://doi.org/10.1016/j.bmcl.2025.130193,SKUSCUALKIOIST
920,825,Pomalidomide,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H11N3O4/c14-7-3-1-2-6-10(7)13(20)16(12(6)19)8-4-5-9(17)15-11(8)18/h1-3,8H,4-5,14H2,(H,15,17,18)",UVSMNLNDYGZFPF-UHFFFAOYSA-N,PLZF,CRBN,Q96SW2,,,<100,nM,,,,,https://doi.org/10.1038/s42003-021-02801-y,UVSMNLNDYGZFPF
1215,1049,TMX-4100,O=C1CCC(N2C=C(C3=CSC=C3)N=N2)C(=O)N1,"InChI=1S/C11H10N4O2S/c16-10-2-1-9(11(17)12-10)15-5-8(13-14-15)7-3-4-18-6-7/h3-6,9H,1-2H2,(H,12,16,17)",PGEUBQZQGXWTFO-UHFFFAOYSA-N,PDE6D,CRBN,Q96SW2,,,<200,nM,,,,,https://doi.org/10.1021/acs.jmedchem.1c01832,PGEUBQZQGXWTFO
1463,1263,LC-03-041,O=C1CC[C@H](N2CC3=CC(C4=CN=C5CNCCN45)=CC=C3C2=O)C(=O)N1,"InChI=1S/C19H19N5O3/c25-17-4-3-14(18(26)22-17)24-10-12-7-11(1-2-13(12)19(24)27)15-8-21-16-9-20-5-6-23(15)16/h1-2,7-8,14,20H,3-6,9-10H2,(H,22,25,26)/t14-/m0/s1",WDUXNRRGWRVGDQ-AWEZNQCLSA-N,NEK7,CRBN,Q96SW2,MOLT-4,HiBiT,> 1,μM,,50,6 h,,https://doi.org/10.1002/anie.202500169,WDUXNRRGWRVGDQ
1464,1264,LC-04-039,O=C1CC[C@H](N2CC3=CC(C4=CN=C5CN(CC6=CC=CC=C6C6=CC=C(Cl)C=C6)CCN45)=CC=C3C2=O)C(=O)N1,"InChI=1S/C32H28ClN5O3/c33-24-8-5-20(6-9-24)25-4-2-1-3-22(25)17-36-13-14-37-28(16-34-29(37)19-36)21-7-10-26-23(15-21)18-38(32(26)41)27-11-12-30(39)35-31(27)40/h1-10,15-16,27H,11-14,17-19H2,(H,35,39,40)/t27-/m0/s1",ATXNQTRYJSBQDG-MHZLTWQESA-N,NEK7,CRBN,Q96SW2,MOLT-4,HiBiT,> 1,μM,,53,6 h,,https://doi.org/10.1002/anie.202500169,ATXNQTRYJSBQDG
1466,1266,LC-04-041,O=C1CC[C@H](N2CC3=CC(C4=CN=C5CN(CC6=CC=CC=C6C6=CC=C(F)C=C6)CCN45)=CC=C3C2=O)C(=O)N1,"InChI=1S/C32H28FN5O3/c33-24-8-5-20(6-9-24)25-4-2-1-3-22(25)17-36-13-14-37-28(16-34-29(37)19-36)21-7-10-26-23(15-21)18-38(32(26)41)27-11-12-30(39)35-31(27)40/h1-10,15-16,27H,11-14,17-19H2,(H,35,39,40)/t27-/m0/s1",VDRBYTCCIRUVHX-MHZLTWQESA-N,NEK7,CRBN,Q96SW2,MOLT-4,HiBiT,> 1,μM,,56,6 h,,https://doi.org/10.1002/anie.202500169,VDRBYTCCIRUVHX
1467,1267,LC-04-042,O=C1CC[C@H](N2CC3=CC(C4=CN=C5CN(CC6=CC=CC=C6C6=CC=NC=C6)CCN45)=CC=C3C2=O)C(=O)N1,"InChI=1S/C31H28N6O3/c38-29-8-7-26(30(39)34-29)37-18-23-15-21(5-6-25(23)31(37)40)27-16-33-28-19-35(13-14-36(27)28)17-22-3-1-2-4-24(22)20-9-11-32-12-10-20/h1-6,9-12,15-16,26H,7-8,13-14,17-19H2,(H,34,38,39)/t26-/m0/s1",VBKRTIAVDNIPSQ-SANMLTNESA-N,NEK7,CRBN,Q96SW2,MOLT-4,HiBiT,> 1,μM,,28,6 h,,https://doi.org/10.1002/anie.202500169,VBKRTIAVDNIPSQ
1468,1268,LC-04-043,O=C1CC[C@H](N2CC3=CC(C4=CN=C5CN(CC6=CC=CC=C6C6=CC=CC(Cl)=C6)CCN45)=CC=C3C2=O)C(=O)N1,"InChI=1S/C32H28ClN5O3/c33-24-6-3-5-20(15-24)25-7-2-1-4-22(25)17-36-12-13-37-28(16-34-29(37)19-36)21-8-9-26-23(14-21)18-38(32(26)41)27-10-11-30(39)35-31(27)40/h1-9,14-16,27H,10-13,17-19H2,(H,35,39,40)/t27-/m0/s1",YFKFZPCPTVQGLX-MHZLTWQESA-N,NEK7,CRBN,Q96SW2,MOLT-4,HiBiT,> 1,μM,,43,6 h,,https://doi.org/10.1002/anie.202500169,YFKFZPCPTVQGLX
1473,1273,LC-04-101,O=C1CC[C@H](N2CC3=CC(C4=CN=C5CN(CC6=CC=CC=C6C6=CC=CC=C6C(F)(F)F)CCN45)=CC=C3C2=O)C(=O)N1,"InChI=1S/C33H28F3N5O3/c34-33(35,36)26-8-4-3-7-25(26)23-6-2-1-5-21(23)17-39-13-14-40-28(16-37-29(40)19-39)20-9-10-24-22(15-20)18-41(32(24)44)27-11-12-30(42)38-31(27)43/h1-10,15-16,27H,11-14,17-19H2,(H,38,42,43)/t27-/m0/s1",NTWLYLGZYZHHTE-MHZLTWQESA-N,NEK7,CRBN,Q96SW2,MOLT-4,HiBiT,> 1,μM,,5,6 h,,https://doi.org/10.1002/anie.202500169,NTWLYLGZYZHHTE
