Record_ID,Compound_ID,Compound_Name,SMILES,StdInChl,StdInChIKey,Degradation_Target,Recruiter,Recruiter_UniProtID,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
920,825,Pomalidomide,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H11N3O4/c14-7-3-1-2-6-10(7)13(20)16(12(6)19)8-4-5-9(17)15-11(8)18/h1-3,8H,4-5,14H2,(H,15,17,18)",UVSMNLNDYGZFPF-UHFFFAOYSA-N,PLZF,CRBN,Q96SW2,,,<100,nM,,,,,https://doi.org/10.1038/s42003-021-02801-y,UVSMNLNDYGZFPF
287,269,TMX458,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)OC(C)(C)C)N=C2C1=CC=C(C#CCO)C=C1,"InChI=1S/C26H28N4O3S/c1-15-16(2)34-25-22(15)23(19-11-9-18(10-12-19)8-7-13-31)27-20(14-21(32)33-26(4,5)6)24-29-28-17(3)30(24)25/h9-12,20,31H,13-14H2,1-6H3/t20-/m0/s1",SVDRARONQMNMOU-FQEVSTJZSA-N,BRD4,DCAF16,Q9NXF7,,,> 10,μM,,10,16 h,,https://doi.org/10.1016/j.ejmech.2024.116904,SVDRARONQMNMOU
1223,1055,6,O=C1CCC(N2CC3=C(C=CC(CNC(=O)C4=CC=C(F)C=C4)=C3)C2=O)C(=O)N1,"InChI=1S/C21H18FN3O4/c22-15-4-2-13(3-5-15)19(27)23-10-12-1-6-16-14(9-12)11-25(21(16)29)17-7-8-18(26)24-20(17)28/h1-6,9,17H,7-8,10-11H2,(H,23,27)(H,24,26,28)",ZKKBMXPIWFMOKF-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,> 10000,nM,,23,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,ZKKBMXPIWFMOKF
1053,917,LC-02-047-P2,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(Cl)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C19H14ClN5O3/c20-15-5-6-25-17(22-15)13(8-21-25)10-1-2-12-11(7-10)9-24(19(12)28)14-3-4-16(26)23-18(14)27/h1-2,5-8,14H,3-4,9H2,(H,23,26,27)/t14-/m0/s1",DMUSJBLCTPEHPQ-AWEZNQCLSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,50,,,https://doi.org/10.1021/jacsau.4c00762,DMUSJBLCTPEHPQ
1054,918,LC-02-104,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NC6=CC=C7OCOC7=C6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C26H20N6O5/c33-23-6-4-19(25(34)30-23)31-12-15-9-14(1-3-17(15)26(31)35)18-11-27-32-8-7-22(29-24(18)32)28-16-2-5-20-21(10-16)37-13-36-20/h1-3,5,7-11,19H,4,6,12-13H2,(H,28,29)(H,30,33,34)/t19-/m0/s1",BIRKQAVFJFRNPQ-IBGZPJMESA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,0,,,https://doi.org/10.1021/jacsau.4c00762,BIRKQAVFJFRNPQ
1055,919,LC-02-135,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NC6CCC(F)(F)CC6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C25H24F2N6O3/c26-25(27)8-5-16(6-9-25)29-20-7-10-33-22(30-20)18(12-28-33)14-1-2-17-15(11-14)13-32(24(17)36)19-3-4-21(34)31-23(19)35/h1-2,7,10-12,16,19H,3-6,8-9,13H2,(H,29,30)(H,31,34,35)/t19-/m0/s1",KOYRQYHKBOGVHK-IBGZPJMESA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,0,,,https://doi.org/10.1021/jacsau.4c00762,KOYRQYHKBOGVHK
1056,920,LC-02-119,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NC6CCCCC6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C25H26N6O3/c32-22-9-8-20(24(33)29-22)30-14-16-12-15(6-7-18(16)25(30)34)19-13-26-31-11-10-21(28-23(19)31)27-17-4-2-1-3-5-17/h6-7,10-13,17,20H,1-5,8-9,14H2,(H,27,28)(H,29,32,33)/t20-/m0/s1",UYDLBNIXPOLYLS-FQEVSTJZSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,9,,,https://doi.org/10.1021/jacsau.4c00762,UYDLBNIXPOLYLS
1057,921,LC-02-120,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NC6CCOCC6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C24H24N6O4/c31-21-4-3-19(23(32)28-21)29-13-15-11-14(1-2-17(15)24(29)33)18-12-25-30-8-5-20(27-22(18)30)26-16-6-9-34-10-7-16/h1-2,5,8,11-12,16,19H,3-4,6-7,9-10,13H2,(H,26,27)(H,28,31,32)/t19-/m0/s1",GCUFXMIQFJJOPR-IBGZPJMESA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,14,,,https://doi.org/10.1021/jacsau.4c00762,GCUFXMIQFJJOPR
1058,922,LC-02-116,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NCC6=CC=CC=C6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C26H22N6O3/c33-23-9-8-21(25(34)30-23)31-15-18-12-17(6-7-19(18)26(31)35)20-14-28-32-11-10-22(29-24(20)32)27-13-16-4-2-1-3-5-16/h1-7,10-12,14,21H,8-9,13,15H2,(H,27,29)(H,30,33,34)/t21-/m0/s1",YGLDMGSRTJAXRL-NRFANRHFSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,30,,,https://doi.org/10.1021/jacsau.4c00762,YGLDMGSRTJAXRL
1059,923,LC-02-117,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NCCC6=CC=CC=C6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C27H24N6O3/c34-24-9-8-22(26(35)31-24)32-16-19-14-18(6-7-20(19)27(32)36)21-15-29-33-13-11-23(30-25(21)33)28-12-10-17-4-2-1-3-5-17/h1-7,11,13-15,22H,8-10,12,16H2,(H,28,30)(H,31,34,35)/t22-/m0/s1",IWELENJZEKXIMC-QFIPXVFZSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,0,,,https://doi.org/10.1021/jacsau.4c00762,IWELENJZEKXIMC
1060,924,LC-02-148,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NCCN6CCOCC6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C25H27N7O4/c33-22-4-3-20(24(34)29-22)31-15-17-13-16(1-2-18(17)25(31)35)19-14-27-32-7-5-21(28-23(19)32)26-6-8-30-9-11-36-12-10-30/h1-2,5,7,13-14,20H,3-4,6,8-12,15H2,(H,26,28)(H,29,33,34)/t20-/m0/s1",XMQLJWPGJYURGC-FQEVSTJZSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,0,,,https://doi.org/10.1021/jacsau.4c00762,XMQLJWPGJYURGC
387,358,LC-02-105,CC1=CC=C(NC2=NC3=C(C4=CC=C5C(=O)N([C@H]6CCC(=O)NC6=O)CC5=C4)C=NN3C=C2)C=C1Cl,"InChI=1S/C26H21ClN6O3/c1-14-2-4-17(11-20(14)27)29-22-8-9-33-24(30-22)19(12-28-33)15-3-5-18-16(10-15)13-32(26(18)36)21-6-7-23(34)31-25(21)35/h2-5,8-12,21H,6-7,13H2,1H3,(H,29,30)(H,31,34,35)/t21-/m0/s1",FVQQKZPSORNQPE-NRFANRHFSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,68,,,https://doi.org/10.1021/jacsau.4c00762,FVQQKZPSORNQPE
737,684,LC-02-121,COC1=CC=C(NC2=NC3=C(C4=CC=C5C(=O)N([C@H]6CCC(=O)NC6=O)CC5=C4)C=NN3C=C2)C=C1C,"InChI=1S/C27H24N6O4/c1-15-11-18(4-7-22(15)37-2)29-23-9-10-33-25(30-23)20(13-28-33)16-3-5-19-17(12-16)14-32(27(19)36)21-6-8-24(34)31-26(21)35/h3-5,7,9-13,21H,6,8,14H2,1-2H3,(H,29,30)(H,31,34,35)/t21-/m0/s1",LIRALDJVEGMUCK-NRFANRHFSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,1,,,https://doi.org/10.1021/jacsau.4c00762,LIRALDJVEGMUCK
854,787,LC-04-081,NC1=C2N=C(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)C=CN2N=C1,"InChI=1S/C19H16N6O3/c20-13-8-21-25-6-5-14(22-17(13)25)10-1-2-12-11(7-10)9-24(19(12)28)15-3-4-16(26)23-18(15)27/h1-2,5-8,15H,3-4,9,20H2,(H,23,26,27)",APQSXHQOFJECJP-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>1000,nM,,31,,,https://doi.org/10.1021/jacsau.4c00762,APQSXHQOFJECJP
1259,1078,20,O=C1CCC(N2CC3=C(C=CC(NC4=CN=C5C=CC=CN45)=C3)C2=O)C(=O)N1,"InChI=1S/C20H17N5O3/c26-18-7-6-15(19(27)23-18)25-11-12-9-13(4-5-14(12)20(25)28)22-17-10-21-16-3-1-2-8-24(16)17/h1-5,8-10,15,22H,6-7,11H2,(H,23,26,27)",BSDDYEGUSIPCLX-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,>10000,nM,,0,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,BSDDYEGUSIPCLX
340,320,12,CC1=CC=C(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1,"InChI=1S/C21H17N3O5/c1-11-2-4-12(5-3-11)18(26)22-13-6-7-14-15(10-13)21(29)24(20(14)28)16-8-9-17(25)23-19(16)27/h2-7,10,16H,8-9H2,1H3,(H,22,26)(H,23,25,27)",IVMUUHKIZMAKOC-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,>10000,nM,,38,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,IVMUUHKIZMAKOC
341,321,11,CC1=CC=C(C(=O)NC2=CC3=C(C=C2)CN(C2CCC(=O)NC2=O)C3=O)C=C1,"InChI=1S/C21H19N3O4/c1-12-2-4-13(5-3-12)19(26)22-15-7-6-14-11-24(21(28)16(14)10-15)17-8-9-18(25)23-20(17)27/h2-7,10,17H,8-9,11H2,1H3,(H,22,26)(H,23,25,27)",PGSLSLNXMKCQFN-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,>10000,nM,,10,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,PGSLSLNXMKCQFN
