DOI,Compound_Name,IUPAC_Name,IUPAC_Name_Source,SMILES,SMILES_Source,Standard_InChIKey,Standard_InChIKey_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Connectivity_Key
10.1021/acs.jmedchem.0c01313,SJ6986,"N-(2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-2-(trifluoromethoxy)benzenesulfonamide",PAPER,O=C1NC(C(N2C(C(C=CC(NS(C3=CC=CC=C3OC(F)(F)F)(=O)=O)=C4)=C4C2=O)=O)CC1)=O,PAPER,RKAFYSIKAVFVPS-UHFFFAOYSA-N,OPSIN + PUBCHEM,GSPT1,CRBN,Immunoblot,MV4-11,9.7,nM,4,90,4.0,100 nM,RKAFYSIKAVFVPS
10.1021/acs.jmedchem.0c01313,SJ7023,"3-Chloro-N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-2-methylbenzenesulfonamide",PAPER,O=C1NC(C(N2C(C(C=CC(NS(C3=CC=CC(Cl)=C3C)(=O)=O)=C4)=C4C2=O)=O)CC1)=O,PAPER,FURMQZYSFFTQLK-UHFFFAOYSA-N,OPSIN + PUBCHEM,GSPT1,CRBN,Immunoblot,MV4-11,,,,60,4.0,10 μM,FURMQZYSFFTQLK
10.1021/acs.jmedchem.0c01313,SJ7023,"3-Chloro-N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-2-methylbenzenesulfonamide",PAPER,O=C1NC(C(N2C(C(C=CC(NS(C3=CC=CC(Cl)=C3C)(=O)=O)=C4)=C4C2=O)=O)CC1)=O,PAPER,FURMQZYSFFTQLK-UHFFFAOYSA-N,OPSIN + PUBCHEM,GSPT1,CRBN,Immunoblot,MV4-11,10,nM,24,90,24.0,100 nM,FURMQZYSFFTQLK
10.1021/acs.jmedchem.0c01313,SJ6986,"N-(2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-2-(trifluoromethoxy)benzenesulfonamide",PAPER,O=C1NC(C(N2C(C(C=CC(NS(C3=CC=CC=C3OC(F)(F)F)(=O)=O)=C4)=C4C2=O)=O)CC1)=O,PAPER,RKAFYSIKAVFVPS-UHFFFAOYSA-N,OPSIN + PUBCHEM,GSPT1,CRBN,Immunoblot,MV4-11,2.1,nM,24,,,,RKAFYSIKAVFVPS
10.1021/acs.jmedchem.0c01313,CC-90009,"2-(4-chlorophenyl)-N-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]-2,2-difluoroacetamide",PUBCHEM,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)CNC(=O)C(C4=CC=C(C=C4)Cl)(F)F,PUBCHEM,PWBHUSLMHZLGRN-UHFFFAOYSA-N,PUBCHEM,GSPT1,CRBN,Immunoblot,MV4-11,,,,74,4.0,10 μM,PWBHUSLMHZLGRN
10.1021/acs.jmedchem.0c01313,CC-90009,"2-(4-chlorophenyl)-N-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]-2,2-difluoroacetamide",PUBCHEM,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)CNC(=O)C(C4=CC=C(C=C4)Cl)(F)F,PUBCHEM,PWBHUSLMHZLGRN-UHFFFAOYSA-N,PUBCHEM,IKZF1,CRBN,Immunoblot,MV4-11,,,,55,4.0,10 μM,PWBHUSLMHZLGRN
10.1021/acs.jmedchem.0c01313,CC-90009,"2-(4-chlorophenyl)-N-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]-2,2-difluoroacetamide",PUBCHEM,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)CNC(=O)C(C4=CC=C(C=C4)Cl)(F)F,PUBCHEM,PWBHUSLMHZLGRN-UHFFFAOYSA-N,PUBCHEM,GSPT1,CRBN,Immunoblot,MV4-11,1.6,nM,24,> 90,24.0,,PWBHUSLMHZLGRN
10.1021/acs.jmedchem.0c01313,CC-90009,"2-(4-chlorophenyl)-N-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]-2,2-difluoroacetamide",PUBCHEM,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)CNC(=O)C(C4=CC=C(C=C4)Cl)(F)F,PUBCHEM,PWBHUSLMHZLGRN-UHFFFAOYSA-N,PUBCHEM,IKZF1,CRBN,Immunoblot,MV4-11,10,nM,24,> 90,24.0,,PWBHUSLMHZLGRN
10.1016/j.ejmech.2024.116904,GNE011,,,,,,,BRD4BD2,DCAF16,Flow cytometry(eGFP/mCherry),K562,,,,~50,16.0,,
10.1016/j.ejmech.2024.116904,TMX458,"tert-butyl (S)-2-(4-(4-(3-hydroxyprop-1-yn-1-yl)phenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate ",PAPER,OCC#CC1=CC=C(C=C1)C1=N[C@H](C=2N(C3=C1C(=C(S3)C)C)C(=NN2)C)CC(=O)OC(C)(C)C,OPSIN,SVDRARONQMNMOU-FQEVSTJZSA-N,OPSIN,BRD4BD2,DCAF16,Flow cytometry(eGFP/mCherry),K562,>10000,nM,,10,16.0,,SVDRARONQMNMOU
