DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
10.1021/acs.jmedchem.3c00851,43h,"4-[4-[[[2-[(9S)-7-(4-Chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetyl]amino]methyl]-1-piperidyl]-N-(2,6-dioxo-3-piperidyl)-2-fluorobenzamide",O=C(NC(CC1)C(NC1=O)=O)C2=CC=C(N3CCC(CNC(C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C6=C(SC(C)=C6C)N7C(C)=NN=C47)=O)CC3)C=C2F,PAPER,BRD4,CRBN,Western blot densitometry,MOLT4,4.7,nM,24 h,>99,24 h,,NTNMFROSEFWETI-XIJSCUBXSA-N,OPSIN,,NTNMFROSEFWETI
10.1021/acs.jmedchem.3c00851,44h,"4-[4-[[[2-[(9S)-7-(4-Chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetyl]amino]methyl]-1-piperidyl]-N-(2,6-dioxo-3-piperidyl)-2-methoxybenzamide",O=C(NC(CC1)C(NC1=O)=O)C2=CC=C(N3CCC(CNC(C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C6=C(SC(C)=C6C)N7C(C)=NN=C47)=O)CC3)C=C2OC,PAPER,BRD4,CRBN,Western blot densitometry,MOLT4,0.59,nM,24 h,>99,24 h,,BIVJJLVZJPBUMK-XIJSCUBXSA-N,OPSIN,,BIVJJLVZJPBUMK
10.1021/acs.jmedchem.3c00851,51,"N-(2,6-Dioxo-3-piperidyl)-4-[[2-[[8-[4-[[7-(hydroxyamino)-7-oxo-heptyl]carbamoyl] anilino]-8-oxooctyl]amino]-2-oxoethyl]amino]-2-methoxybenzamide",O=C(NC(CC1)C(NC1=O)=O)C2=CC=C(NCC(NCCCCCCCC(NC3=CC=C(C(NCCCCCCC(NO)=O)=O)C=C3)=O)=O)C=C2OC,PAPER,HDAC6,CRBN,Western blot densitometry,MM.1S,5.8,nM,24 h,,,,YACBBDOEMCACOF-UHFFFAOYSA-N,OPSIN,,YACBBDOEMCACOF
10.1038/s41589-023-01409-z,DS64,"(R)-2-((6-((4,5-difluoro-1H-benzo[d]imidazol-2-yl)methyl)amino)-9-isopropyl-9H-purin-2 yl)amino)butan-1-ol",CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=NC4=C(N3)C=CC(=C4F)F,PUBCHEM,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,62,nM,5,,,,DCTODZNTFHJKGP-LLVKDONJSA-N,PUBCHEM,,DCTODZNTFHJKGP
10.1038/s41589-023-01409-z,DS18,"N-((5,6-dichloro-1H-benzo[d]imidazol-2-yl)methyl)-9-isopropyl-2-morpholino-9H-purin-6 amine",ClC1=CC2=C(NC(=N2)CNC2=C3N=CN(C3=NC(=N2)N2CCOCC2)C(C)C)C=C1Cl,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,13,nM,5,,,,DPCUNIIUTMKIKJ-UHFFFAOYSA-N,OPSIN,,DPCUNIIUTMKIKJ
10.1038/s41589-023-01409-z,DS19,9-isopropyl-2-morpholino-N-(4-(pyridin-2-yl)benzyl)-9H-purin-6-amine,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCC1=CC=C(C=C1)C1=NC=CC=C1)N1CCOCC1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,62,nM,5,,,,LQFDMFLOSFCOEO-UHFFFAOYSA-N,OPSIN,,LQFDMFLOSFCOEO
10.1038/s41589-023-01409-z,DS21,9-(1-methyl-1H-pyrazol-4-yl)-2-morpholino-N-(4-(pyridin-2-yl)benzyl)-9H-purin-6-amine,CN1N=CC(=C1)N1C2=NC(=NC(=C2N=C1)NCC1=CC=C(C=C1)C1=NC=CC=C1)N1CCOCC1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,3124,nM,5,,,,MQFPSSOXZJCSMW-UHFFFAOYSA-N,OPSIN,,MQFPSSOXZJCSMW
10.1038/s41589-023-01409-z,DS22,"(R)-2-((6-(((5,6-dichloro-1H-benzo[d]imidazol-2-yl)methyl)amino)-9-(1-methyl-1H-pyrazol-4 yl)-9H-purin-2-yl)amino)butan-1-ol",ClC1=CC2=C(NC(=N2)CNC2=C3N=CN(C3=NC(=N2)N[C@@H](CO)CC)C=2C=NN(C2)C)C=C1Cl,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,109,nM,5,,,,QUGBKWYKYATQSZ-LLVKDONJSA-N,OPSIN,,QUGBKWYKYATQSZ
10.1038/s41589-023-01409-z,DS24,(R)-2-((6-((3-fluoro-4-(pyridin-2-yl)benzyl)amino)-9-isopropyl-9H-purin-2-yl)amino)butan-1-ol,FC=1C=C(CNC2=C3N=CN(C3=NC(=N2)N[C@@H](CO)CC)C(C)C)C=CC1C1=NC=CC=C1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,172,nM,5,,,,DZJLJYVQLLFULK-QGZVFWFLSA-N,OPSIN,,DZJLJYVQLLFULK
10.1038/s41589-023-01409-z,DS25,(R)-2-((9-isopropyl-6-((4-(5-methylthiophen-2-yl)benzyl)amino)-9H-purin-2-yl)amino)butan-1-ol,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCC1=CC=C(C=C1)C=1SC(=CC1)C)N[C@@H](CO)CC,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,90,nM,5,,,,IGJPGKABXPANSO-LJQANCHMSA-N,OPSIN,,IGJPGKABXPANSO
10.1038/s41589-023-01409-z,DS28,(S)-2-((9-isopropyl-6-((4-(pyridin-2-yl)benzyl)amino)-9H-purin-2-yl)amino)butan-1-ol,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCC1=CC=C(C=C1)C1=NC=CC=C1)N[C@H](CO)CC,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,27,nM,5,,,,HOCBJBNQIQQQGT-IBGZPJMESA-N,OPSIN,,HOCBJBNQIQQQGT
10.1038/s41589-023-01409-z,DS29,(R)-2-((6-((3-(3-fluorophenyl)propyl)amino)-9-isopropyl-9H-purin-2-yl)amino)butan-1-ol,FC=1C=C(C=CC1)CCCNC1=C2N=CN(C2=NC(=N1)N[C@@H](CO)CC)C(C)C,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,253,nM,5,,,,CQVNQDCOBDXVMZ-QGZVFWFLSA-N,OPSIN,,CQVNQDCOBDXVMZ
10.1038/s41589-023-01409-z,DS30,(R)-2-((9-isopropyl-6-((3-(m-tolyl)propyl)amino)-9H-purin-2-yl)amino)butan-1-ol,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCCCC1=CC(=CC=C1)C)N[C@@H](CO)CC,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,78,nM,5,,,,IAQVCGQJJMTIMM-GOSISDBHSA-N,OPSIN,,IAQVCGQJJMTIMM
10.1038/s41589-023-01409-z,DS43,(R)-2-((6-(((1-(3-chlorophenyl)-1H-pyrazol-3-yl)methyl)amino)-9-isopropyl-9H-purin-2 yl)amino)butan-1-ol,ClC=1C=C(C=CC1)N1N=C(C=C1)CNC1=C2N=CN(C2=NC(=N1)N[C@@H](CO)CC)C(C)C,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,75,nM,5,,,,XQOCHZAMFJBROM-MRXNPFEDSA-N,OPSIN,,XQOCHZAMFJBROM
10.1038/s41589-023-01409-z,DS44,(R)-2-((9-isopropyl-6-((4-(pyridin-4-yl)benzyl)amino)-9H-purin-2-yl)amino)butan-1-ol,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCC1=CC=C(C=C1)C1=CC=NC=C1)N[C@@H](CO)CC,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,62,nM,5,,,,UQRBOMYWGJFNEB-HXUWFJFHSA-N,OPSIN,,UQRBOMYWGJFNEB
10.1038/s41589-023-01409-z,DS45,(R)-2-((9-isopropyl-6-((4-(pyridin-3-yl)benzyl)amino)-9H-purin-2-yl)amino)butan-1-ol,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCC1=CC=C(C=C1)C=1C=NC=CC1)N[C@@H](CO)CC,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,36,nM,5,,,,AXLQKORZTHWACD-HXUWFJFHSA-N,OPSIN,,AXLQKORZTHWACD
10.1038/s41589-023-01409-z,DS50,2-((9-isopropyl-6-((4-(pyridin-2-yl)benzyl)amino)-9H-purin-2-yl)amino)-N-(2-methoxyphenethyl)acetamide,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCC1=CC=C(C=C1)C1=NC=CC=C1)NCC(=O)NCCC1=C(C=CC=C1)OC,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,3569,nM,5,,,,FAZBCDJEMSESAO-UHFFFAOYSA-N,OPSIN,,FAZBCDJEMSESAO
