Verification_Results,Record_ID,Compound_ID,Compound_Name,SMILES,StdInChl,StdInChIKey,Degradation_Target,Recruiter,Recruiter_UniProtID,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
Image,11,11,26b,C[C@@H]1C[C@H](C)CN(C2=NC=C(Cl)C(NC3=CC=C4C(=C3)N(CCC(C)(C)O)C(=O)N4C)=C2)C1,"InChI=1S/C25H34ClN5O2/c1-16-10-17(2)15-30(14-16)23-12-20(19(26)13-27-23)28-18-6-7-21-22(11-18)31(24(32)29(21)5)9-8-25(3,4)33/h6-7,11-13,16-17,33H,8-10,14-15H2,1-5H3,(H,27,28)/t16-,17+",ZSNPZVSHDMCRMS-CALCHBBNSA-N,BCL6,Unknown,,SU-DHL-4,,1800,nM,,,,,10.1021/acs.jmedchem.9b02076,ZSNPZVSHDMCRMS
Image,12,12,CCT368682,C[C@@H]1C[C@H](C)CN(C2=NC=C(Cl)C(NC3=CC=C4C(=C3)N(CCC(C)(C)O)C(=O)N4C)=N2)C1,"InChI=1S/C24H33ClN6O2/c1-15-10-16(2)14-30(13-15)22-26-12-18(25)21(28-22)27-17-6-7-19-20(11-17)31(23(32)29(19)5)9-8-24(3,4)33/h6-7,11-12,15-16,33H,8-10,13-14H2,1-5H3,(H,26,27,28)/t15-,16+",SZOQWJDRAIBTQM-IYBDPMFKSA-N,BCL6,Unknown,,SU-DHL-4,,330,nM,,,,,10.1021/acs.jmedchem.9b02076,SZOQWJDRAIBTQM
Image,12,12,CCT368682,C[C@@H]1C[C@H](C)CN(C2=NC=C(Cl)C(NC3=CC=C4C(=C3)N(CCC(C)(C)O)C(=O)N4C)=N2)C1,"InChI=1S/C24H33ClN6O2/c1-15-10-16(2)14-30(13-15)22-26-12-18(25)21(28-22)27-17-6-7-19-20(11-17)31(23(32)29(19)5)9-8-24(3,4)33/h6-7,11-12,15-16,33H,8-10,13-14H2,1-5H3,(H,26,27,28)/t15-,16+",SZOQWJDRAIBTQM-IYBDPMFKSA-N,BCL6,Unknown,,OCI-Ly1,,92,nM,,,,,10.1021/acs.jmedchem.9b02076,SZOQWJDRAIBTQM
Image,14,14,CCT369260,C[C@@H]1CN(C2=NC=C(Cl)C(NC3=CC=C4C(=C3)N(CCC(C)(C)O)C(=O)N4C)=N2)C[C@H](C)C1(F)F,"InChI=1S/C24H31ClF2N6O2/c1-14-12-32(13-15(2)24(14,26)27)21-28-11-17(25)20(30-21)29-16-6-7-18-19(10-16)33(22(34)31(18)5)9-8-23(3,4)35/h6-7,10-11,14-15,35H,8-9,12-13H2,1-5H3,(H,28,29,30)/t14-,15+",VFNPUAOAEFMXQI-GASCZTMLSA-N,BCL6,Unknown,,Karpas 422,,62,nM,,,,,10.1021/acs.jmedchem.9b02076,VFNPUAOAEFMXQI
Image,464,425,24a,CC1CCCN(C2=NC=C(Cl)C(NC3=CC=C4C(=C3)N(CCC(C)(C)O)C(=O)N4C)=N2)C1,"InChI=1S/C23H31ClN6O2/c1-15-6-5-10-29(14-15)21-25-13-17(24)20(27-21)26-16-7-8-18-19(12-16)30(22(31)28(18)4)11-9-23(2,3)32/h7-8,12-13,15,32H,5-6,9-11,14H2,1-4H3,(H,25,26,27)",JJRNMFKHVQJGBN-UHFFFAOYSA-N,BCL6,Unknown,,SU-DHL-4,,520,nM,,,,,10.1021/acs.jmedchem.9b02076,JJRNMFKHVQJGBN
Image,466,427,27c,CC1CN(C2=NC=C(Cl)C(NC3=CC=C4C(=C3)N(CCC(C)(C)O)C(=O)N4C)=N2)CCC1(F)F,"InChI=1S/C23H29ClF2N6O2/c1-14-13-31(9-8-23(14,25)26)20-27-12-16(24)19(29-20)28-15-5-6-17-18(11-15)32(21(33)30(17)4)10-7-22(2,3)34/h5-6,11-12,14,34H,7-10,13H2,1-4H3,(H,27,28,29)",MOBUBSZJEOKULO-UHFFFAOYSA-N,BCL6,Unknown,,SU-DHL-4,,180,nM,,,,,10.1021/acs.jmedchem.9b02076,MOBUBSZJEOKULO
Image,594,549,27b,CN1C(=O)N(CCC(C)(C)O)C2=CC(NC3=NC(N4CCC(F)(F)CC4)=NC=C3Cl)=CC=C21,"InChI=1S/C22H27ClF2N6O2/c1-21(2,33)6-11-31-17-12-14(4-5-16(17)29(3)20(31)32)27-18-15(23)13-26-19(28-18)30-9-7-22(24,25)8-10-30/h4-5,12-13,33H,6-11H2,1-3H3,(H,26,27,28)",WBWCRVDICXCMSW-UHFFFAOYSA-N,BCL6,Unknown,,Karpas 422,,290,nM,,,,,10.1021/acs.jmedchem.9b02076,WBWCRVDICXCMSW
Image,595,550,27a,CN1C(=O)N(CCC(C)(C)O)C2=CC(NC3=NC(N4CCCC(C(F)(F)F)C4)=NC=C3Cl)=CC=C21,"InChI=1S/C23H28ClF3N6O2/c1-22(2,35)8-10-33-18-11-15(6-7-17(18)31(3)21(33)34)29-19-16(24)12-28-20(30-19)32-9-4-5-14(13-32)23(25,26)27/h6-7,11-12,14,35H,4-5,8-10,13H2,1-3H3,(H,28,29,30)",WXBNLEGNJQNAOI-UHFFFAOYSA-N,BCL6,Unknown,,SU-DHL-4,,750,nM,,,,,10.1021/acs.jmedchem.9b02076,WXBNLEGNJQNAOI
Image,814,751,27f,COCC1CN(C2=NC=C(Cl)C(NC3=CC=C4C(=C3)N(CCC(C)(C)O)C(=O)N4C)=N2)CCC1(F)F,"InChI=1S/C24H31ClF2N6O3/c1-23(2,35)7-10-33-19-11-16(5-6-18(19)31(3)22(33)34)29-20-17(25)12-28-21(30-20)32-9-8-24(26,27)15(13-32)14-36-4/h5-6,11-12,15,35H,7-10,13-14H2,1-4H3,(H,28,29,30)",UMOMRWVRGOTDAT-UHFFFAOYSA-N,BCL6,Unknown,,SU-DHL-4,,440,nM,,,,,10.1021/acs.jmedchem.9b02076,UMOMRWVRGOTDAT
Image,40,37,ML 1-50,C=CS(=O)(=O)N1CCN(C(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)CC1,"InChI=1S/C25H27ClN6O3S2/c1-5-37(34,35)31-12-10-30(11-13-31)21(33)14-20-24-29-28-17(4)32(24)25-22(15(2)16(3)36-25)23(27-20)18-6-8-19(26)9-7-18/h5-9,20H,1,10-14H2,2-4H3/t20-/m0/s1",POWFMDMHDJBMQR-FQEVSTJZSA-N,BRD4-S,DCAF16,Q9NXF7,,,100,nM,,>90,24.0,1 μM,10.1021/acscentsci.4c00286,POWFMDMHDJBMQR
Image,40,37,ML 1-50,C=CS(=O)(=O)N1CCN(C(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)CC1,"InChI=1S/C25H27ClN6O3S2/c1-5-37(34,35)31-12-10-30(11-13-31)21(33)14-20-24-29-28-17(4)32(24)25-22(15(2)16(3)36-25)23(27-20)18-6-8-19(26)9-7-18/h5-9,20H,1,10-14H2,2-4H3/t20-/m0/s1",POWFMDMHDJBMQR-FQEVSTJZSA-N,BRD4-L,DCAF16,Q9NXF7,,,300,nM,,>90,24.0,1 μM,10.1021/acscentsci.4c00286,POWFMDMHDJBMQR
Image,1228,1059,17,O=C1CCC(N2CC3=C(C=CC(NC(=O)C4=CC=CC(C(F)(F)F)=C4)=C3)C2=O)C(=O)N1,"InChI=1S/C21H16F3N3O4/c22-21(23,24)13-3-1-2-11(8-13)18(29)25-14-4-5-15-12(9-14)10-27(20(15)31)16-6-7-17(28)26-19(16)30/h1-5,8-9,16H,6-7,10H2,(H,25,29)(H,26,28,30)",UCPCJPWMCSITTJ-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,5,nM,,90,24.0,10 μM,10.1021/acsmedchemlett.4c00250,UCPCJPWMCSITTJ
Image,1229,1060,16,O=C1CCC(N2CC3=C(C=CC(NC(=O)C4=CC=CC(F)=C4)=C3)C2=O)C(=O)N1,"InChI=1S/C20H16FN3O4/c21-13-3-1-2-11(8-13)18(26)22-14-4-5-15-12(9-14)10-24(20(15)28)16-6-7-17(25)23-19(16)27/h1-5,8-9,16H,6-7,10H2,(H,22,26)(H,23,25,27)",IKDBDJNITQUCOU-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,4,nM,,88,24.0,10 μM,10.1021/acsmedchemlett.4c00250,IKDBDJNITQUCOU
Image,1231,1061,8,O=C1CCC(N2CC3=C(C=CC(NC(=O)C4=CC=CC=C4)=C3)C2=O)C(=O)N1,"InChI=1S/C20H17N3O4/c24-17-9-8-16(19(26)22-17)23-11-13-10-14(6-7-15(13)20(23)27)21-18(25)12-4-2-1-3-5-12/h1-7,10,16H,8-9,11H2,(H,21,25)(H,22,24,26)",CIVWAWPQWLUMPF-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,12,nM,,87,24.0,10 μM,10.1021/acsmedchemlett.4c00250,CIVWAWPQWLUMPF
False Negative,1256,1075,9,O=C1CCC(N2CC3=C(C=CC(NC(=O)C4CCCCC4)=C3)C2=O)C(=O)N1,"InChI=1S/C20H23N3O4/c24-17-9-8-16(19(26)22-17)23-11-13-10-14(6-7-15(13)20(23)27)21-18(25)12-4-2-1-3-5-12/h6-7,10,12,16H,1-5,8-9,11H2,(H,21,25)(H,22,24,26)",XOQKZQJWZWHWDF-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,23,nM,,80,24.0,10 μM,10.1021/acsmedchemlett.4c00250,XOQKZQJWZWHWDF
Image,1259,1078,20,O=C1CCC(N2CC3=C(C=CC(NC4=CN=C5C=CC=CN45)=C3)C2=O)C(=O)N1,"InChI=1S/C20H17N5O3/c26-18-7-6-15(19(27)23-18)25-11-12-9-13(4-5-14(12)20(25)28)22-17-10-21-16-3-1-2-8-24(16)17/h1-5,8-10,15,22H,6-7,11H2,(H,23,26,27)",BSDDYEGUSIPCLX-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,>10000,nM,,0,24.0,10 μM,10.1021/acsmedchemlett.4c00250,BSDDYEGUSIPCLX
Image,1260,1079,22,O=C1CCC(N2CC3=C(C=CC(NC4=NC5=CC=CC=C5O4)=C3)C2=O)C(=O)N1,"InChI=1S/C20H16N4O4/c25-17-8-7-15(18(26)23-17)24-10-11-9-12(5-6-13(11)19(24)27)21-20-22-14-3-1-2-4-16(14)28-20/h1-6,9,15H,7-8,10H2,(H,21,22)(H,23,25,26)",WZMBCEZSOXUGFF-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,4,nM,,0,24.0,10 μM,10.1021/acsmedchemlett.4c00250,WZMBCEZSOXUGFF
