Verification_Results,DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
True,10.1016/j.ejmech.2024.116904,MMH2,"tert-butyl 2-[(9S)-7-[4-(ethenylsulfonylamino)phenyl]-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetate",CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)NS(=O)(=O)C=C)C,PUBCHEM,BRD4BD2,DCAF16,BRD4BD2-eGFP/mCherry reporter assay,K562,1,nM,,95,16,,FZRRESXAODIMQN-IBGZPJMESA-N,PUBCHEM,PUBCHEM,FZRRESXAODIMQN
True,10.1016/j.ejmech.2024.116904,GNE011,,,,BRD4BD2,DCAF16,BRD4BD2-eGFP/mCherry reporter assay,K562,,,,50,16,,,,,
"True, Human Omission",10.1021/acs.jmedchem.0c01313,SJ6986,"N-(2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-2-(trifluoromethoxy)benzenesulfonamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1=O)NS(=O)(=O)C1=C(C=CC=C1)OC(F)(F)F)=O)=O,OPSIN,IKZF1,CRBN,immunoblot,MHH-CALL-4,,,,<=50,24.0,,RKAFYSIKAVFVPS-UHFFFAOYSA-N,OPSIN,,RKAFYSIKAVFVPS
"True, Human Omission",10.1021/acs.jmedchem.0c01313,SJ7023,"3-Chloro-N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-2-methylbenzenesulfonamide",ClC=1C(=C(C=CC1)S(=O)(=O)NC=1C=C2C(N(C(C2=CC1)=O)C1C(NC(CC1)=O)=O)=O)C,OPSIN,IKZF1,CRBN,immunoblot,MHH-CALL-4,,,,<=50,24.0,,FURMQZYSFFTQLK-UHFFFAOYSA-N,OPSIN,,FURMQZYSFFTQLK
True,10.1021/acs.jmedchem.0c01313,SJ7023,"3-Chloro-N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-2-methylbenzenesulfonamide",ClC=1C(=C(C=CC1)S(=O)(=O)NC=1C=C2C(N(C(C2=CC1)=O)C1C(NC(CC1)=O)=O)=O)C,OPSIN,GSPT1,CRBN,immunoblot,MV4-11,,,,60,4.0,10 μM,FURMQZYSFFTQLK-UHFFFAOYSA-N,OPSIN,,FURMQZYSFFTQLK
True,10.1021/acs.jmedchem.0c01313,CC-90009,"2-(4-chlorophenyl)-N-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]-2,2-difluoroacetamide",C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)CNC(=O)C(C4=CC=C(C=C4)Cl)(F)F,PUBCHEM,IKZF1,CRBN,immunoblot,MV4-11,,,,55,4.0,10 μM,PWBHUSLMHZLGRN-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,PWBHUSLMHZLGRN
True,10.1021/acs.jmedchem.0c01313,CC-90009,"2-(4-chlorophenyl)-N-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]-2,2-difluoroacetamide",C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)CNC(=O)C(C4=CC=C(C=C4)Cl)(F)F,PUBCHEM,GSPT1,CRBN,immunoblot,MV4-11,,,,74,4.0,10 μM,PWBHUSLMHZLGRN-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,PWBHUSLMHZLGRN
True,10.1021/acs.jmedchem.0c01313,SJ7023,"3-Chloro-N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-2-methylbenzenesulfonamide",ClC=1C(=C(C=CC1)S(=O)(=O)NC=1C=C2C(N(C(C2=CC1)=O)C1C(NC(CC1)=O)=O)=O)C,OPSIN,GSPT1,CRBN,immunoblot,MV4-11,10.0,nM,24.0,90,24.0,100 nM,FURMQZYSFFTQLK-UHFFFAOYSA-N,OPSIN,,FURMQZYSFFTQLK
True,10.1021/acs.jmedchem.1c02175,8b,"(S)-10-((5-Chloro-2-((R)-4,4-difluoro-3-hydroxypiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",ClC=1C(=NC(=NC1)N1C[C@H](C(CC1)(F)F)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,BCL6,SIAH1,MSD degrader assay,OCI-Ly1,>2000,nM,,<30,,,VMGLHACLWFOJMH-XLIONFOSSA-N,OPSIN,,VMGLHACLWFOJMH
True,10.1021/acs.jmedchem.1c02175,13a,"(S)-10-((5-Chloro-2-((3R,5R)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",ClC=1C(=NC(=NC1)N1C[C@@H](C[C@H](C1)C)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,BCL6,SIAH1,MSD degrader assay,OCI-Ly1,>2000,nM,,<30,,,GSGDUDAFETZSPM-XNVILDLWSA-N,OPSIN,,GSGDUDAFETZSPM
