Record_ID,Compound_ID,Compound_Name,SMILES,InChI,InChIKey,Degradation_Target,Target_Uniprot,Recruiter,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
2062,697,DT2216,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCC(=O)N3CCN(CC[C@H](CSC4=CC=CC=C4)NC4=CC=C(S(=O)(=O)NC(=O)C5=CC=C(N6CCN(CC7=C(C8=CC=C(Cl)C=C8)CCC(C)(C)C7)CC6)C=C5)C=C4S(=O)(=O)C(F)(F)F)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C77H96ClF3N10O10S4/c1-51(53-18-20-55(21-19-53)70-52(2)82-50-103-70)83-73(96)66-44-61(92)48-91(66)74(97)71(75(3,4)5)85-68(93)16-12-9-13-17-69(94)90-42-36-87(37-43-90)35-33-59(49-102-62-14-10-8-11-15-62)84-65-31-30-63(45-67(65)104(98,99)77(79,80)81)105(100,101)86-72(95)56-24-28-60(29-25-56)89-40-38-88(39-41-89)47-57-46-76(6,7)34-32-64(57)54-22-26-58(78)27-23-54/h8,10-11,14-15,18-31,45,50-51,59,61,66,71,84,92H,9,12-13,16-17,32-44,46-49H2,1-7H3,(H,83,96)(H,85,93)(H,86,95)/t51-,59+,61+,66-,71+/m0/s1",PXVFFBGSTYQHRO-REQIQPEASA-N,BCL-xL,Q07817,VHL,platelets,,>3000,nM,16,26,16 h,,10.1038/s41591-019-0668-z,PXVFFBGSTYQHRO
8716,5027,,CC1=C(C2=CC=C([C@H](CO[C@H](C)CN3CCC(C4=CC=C5C(=C4)N(C4CCCC4)C4=NC(=O)C6=C(Br)C=CC=C6N54)CC3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(N(C)C)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C56H70BrN9O6S/c1-33(29-63-25-21-35(22-26-63)38-19-20-43-45(27-38)65(39-11-8-9-12-39)54-61-51(69)47-41(57)13-10-14-44(47)66(43)54)72-31-42(36-15-17-37(18-16-36)48-34(2)58-32-73-48)59-50(68)46-28-40(67)30-64(46)52(70)49(55(3,4)5)60-53(71)56(23-24-56)62(6)7/h10,13-20,27,32-33,35,39-40,42,46,49,67H,8-9,11-12,21-26,28-31H2,1-7H3,(H,59,68)(H,60,71)/t33-,40-,42+,46+,49-/m1/s1",AYSNCSVZNJFPCS-JAHFJGENSA-N,SMARCA4,P51532,VHL,RKO,,83,nM,4,34,4 h,,10.1038/s41467-022-33430-6,AYSNCSVZNJFPCS
2104,1658,LC-2,C=C(F)C(=O)N1CCN(C2=NC(OC[C@@H]3CCCN3CCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)=NC3=C2CCN(C2=CC=CC4=CC=CC(Cl)=C24)C3)C[C@@H]1CC#N,"InChI=1S/C59H71ClFN11O7S/c1-37(61)56(76)71-27-26-70(32-42(71)19-22-62)54-45-20-25-69(48-14-7-11-40-10-6-13-46(60)51(40)48)34-47(45)65-58(67-54)79-35-43-12-8-23-68(43)24-9-28-78-29-21-50(74)66-53(59(3,4)5)57(77)72-33-44(73)30-49(72)55(75)63-31-39-15-17-41(18-16-39)52-38(2)64-36-80-52/h6-7,10-11,13-18,36,42-44,49,53,73H,1,8-9,12,19-21,23-35H2,2-5H3,(H,63,75)(H,66,74)/t42-,43-,44+,49-,53+/m0/s1",ZCGQZLKPUVGCBQ-HLMPTVQRSA-N,KRAS G12C,P01116,VHL,NCI-H358,,520,nM,24,40,24,,10.1021/acscentsci.0c00411,ZCGQZLKPUVGCBQ
946,5023,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(F)CC3)C(C)(C)C)C(OCCCN3CCC(C4=CC=C5C(=C4)N(C4CCCC4)C4=NC(=O)C6=C(Br)C=CC=C6N54)CC3)=C2)SC=N1,"InChI=1S/C53H62BrFN8O6S/c1-31-45(70-30-57-31)34-13-14-35(28-56-47(65)42-27-37(64)29-61(42)49(67)46(52(2,3)4)58-50(68)53(55)19-20-53)43(26-34)69-24-8-21-60-22-17-32(18-23-60)33-15-16-39-41(25-33)62(36-9-5-6-10-36)51-59-48(66)44-38(54)11-7-12-40(44)63(39)51/h7,11-16,25-26,30,32,36-37,42,46,64H,5-6,8-10,17-24,27-29H2,1-4H3,(H,56,65)(H,58,68)/t37-,42+,46-/m1/s1",YUFHVVATBPCYPQ-BQGOKDIQSA-N,SMARCA2,P51531,VHL,RKO,,78,nM,18,46,18 h,,10.1038/s41467-022-33430-6,YUFHVVATBPCYPQ
651,5028,,CC1=C(C2=CC=C([C@H](CCCCCN3CCC(C4=CC=C5C(=C4)N(C4CCCC4)C4=NC(=O)C6=C(Br)C=CC=C6N54)CC3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(F)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C55H66BrFN8O5S/c1-33-47(71-32-58-33)36-18-16-35(17-19-36)41(59-49(67)45-30-39(66)31-63(45)51(69)48(54(2,3)4)60-52(70)55(57)24-25-55)14-6-5-9-26-62-27-22-34(23-28-62)37-20-21-42-44(29-37)64(38-11-7-8-12-38)53-61-50(68)46-40(56)13-10-15-43(46)65(42)53/h10,13,15-21,29,32,34,38-39,41,45,48,66H,5-9,11-12,14,22-28,30-31H2,1-4H3,(H,59,67)(H,60,70)/t39-,41+,45+,48-/m1/s1",NWAHMEWTPAKOEQ-UQZDYNHJSA-N,SMARCA4,P51532,VHL,RKO,,15,nM,4,53,4 h,,10.1038/s41467-022-33430-6,NWAHMEWTPAKOEQ
8188,4268,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCCOC3=CC=C(C4CCN(C5=NN6C(=NN=C6C(F)(F)F)CC5)CC4)C=C3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C45H56F3N9O6S/c1-28-39(64-27-50-28)32-9-7-29(8-10-32)24-49-41(60)35-23-33(58)25-56(35)42(61)40(44(2,3)4)51-38(59)26-62-21-5-6-22-63-34-13-11-30(12-14-34)31-17-19-55(20-18-31)37-16-15-36-52-53-43(45(46,47)48)57(36)54-37/h7-14,27,31,33,35,40,58H,5-6,15-26H2,1-4H3,(H,49,60)(H,51,59)/t33-,35+,40-/m1/s1",BLWSMGOTKQNWIF-LJWMJXRYSA-N,AR-V7,P10275,VHL,VCaP,,290,nM,24,63,24,,10.1016/j.ebiom.2023.104500,BLWSMGOTKQNWIF
8718,5029,,CC1=C(C2=CC=C([C@H](CC[C@H](C)CCN3CCC(C4=CC=C5C(=C4)N(C4CCCC4)C4=NC(=O)C6=C(Br)C=CC=C6N54)CC3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(F)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C56H68BrFN8O5S/c1-33(21-26-63-27-22-35(23-28-63)38-18-20-43-45(29-38)65(39-9-6-7-10-39)54-62-51(69)47-41(57)11-8-12-44(47)66(43)54)13-19-42(36-14-16-37(17-15-36)48-34(2)59-32-72-48)60-50(68)46-30-40(67)31-64(46)52(70)49(55(3,4)5)61-53(71)56(58)24-25-56/h8,11-12,14-18,20,29,32-33,35,39-40,42,46,49,67H,6-7,9-10,13,19,21-28,30-31H2,1-5H3,(H,60,68)(H,61,71)/t33-,40+,42-,46-,49+/m0/s1",JBTHUOYYUUPUOZ-LIHPQFRDSA-N,SMARCA4,P51532,VHL,RKO,,32,nM,18,67,18 h,,10.1038/s41467-022-33430-6,JBTHUOYYUUPUOZ
8195,4269,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@H](O)CN3C(=O)[C@@H](NC(=O)COCCCCCCOC3=CC=C(C4CCN(C5=NN6C(=NN=C6C(F)(F)F)CC5)CC4)C=C3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C47H60F3N9O6S/c1-30-41(66-29-52-30)34-11-9-31(10-12-34)26-51-43(62)37-25-35(60)27-58(37)44(63)42(46(2,3)4)53-40(61)28-64-23-7-5-6-8-24-65-36-15-13-32(14-16-36)33-19-21-57(22-20-33)39-18-17-38-54-55-45(47(48,49)50)59(38)56-39/h9-16,29,33,35,37,42,60H,5-8,17-28H2,1-4H3,(H,51,62)(H,53,61)/t35-,37-,42+/m0/s1",XXORMIPKQOJWQL-FFHGCIBJSA-N,AR-V7,P10275,VHL,VCaP,,520,nM,24,67,24,,10.1016/j.ebiom.2023.104500,XXORMIPKQOJWQL
8716,5027,,CC1=C(C2=CC=C([C@H](CO[C@H](C)CN3CCC(C4=CC=C5C(=C4)N(C4CCCC4)C4=NC(=O)C6=C(Br)C=CC=C6N54)CC3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(N(C)C)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C56H70BrN9O6S/c1-33(29-63-25-21-35(22-26-63)38-19-20-43-45(27-38)65(39-11-8-9-12-39)54-61-51(69)47-41(57)13-10-14-44(47)66(43)54)72-31-42(36-15-17-37(18-16-36)48-34(2)58-32-73-48)59-50(68)46-28-40(67)30-64(46)52(70)49(55(3,4)5)60-53(71)56(23-24-56)62(6)7/h10,13-20,27,32-33,35,39-40,42,46,49,67H,8-9,11-12,21-26,28-31H2,1-7H3,(H,59,68)(H,60,71)/t33-,40-,42+,46+,49-/m1/s1",AYSNCSVZNJFPCS-JAHFJGENSA-N,SMARCA4,P51532,VHL,RKO,,174,nM,18,68,18 h,,10.1038/s41467-022-33430-6,AYSNCSVZNJFPCS
8715,5027,,CC1=C(C2=CC=C([C@H](CO[C@H](C)CN3CCC(C4=CC=C5C(=C4)N(C4CCCC4)C4=NC(=O)C6=C(Br)C=CC=C6N54)CC3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(N(C)C)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C56H70BrN9O6S/c1-33(29-63-25-21-35(22-26-63)38-19-20-43-45(27-38)65(39-11-8-9-12-39)54-61-51(69)47-41(57)13-10-14-44(47)66(43)54)72-31-42(36-15-17-37(18-16-36)48-34(2)58-32-73-48)59-50(68)46-28-40(67)30-64(46)52(70)49(55(3,4)5)60-53(71)56(23-24-56)62(6)7/h10,13-20,27,32-33,35,39-40,42,46,49,67H,8-9,11-12,21-26,28-31H2,1-7H3,(H,59,68)(H,60,71)/t33-,40-,42+,46+,49-/m1/s1",AYSNCSVZNJFPCS-JAHFJGENSA-N,SMARCA2,P51531,VHL,RKO,,6,nM,4,70,4 h,,10.1038/s41467-022-33430-6,AYSNCSVZNJFPCS
