DOI,Compound_Name,IUPAC_Name,IUPAC_Name_Source,SMILES,SMILES_Source,Standard_InChIKey,Standard_InChIKey_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Connectivity_Key
10.1002/anie.201914396,MacroPROTAC-1,"N-((2R,6S,18S,33aS)-6-(tert-butyl)-2-hydroxy-28-(4-methylthiazol-5-yl)-5,8,33-trioxo-2,3,6,7,8,9,11,12,14,15,18,19,21,22,24,25,31,32,33,33a-icosahydro-1H,5H,17H-benzo[r]pyrrolo[1,2-m][1,4,7,20,23,26]hexaoxa[10,13,16]triazacyclononacosin-18-yl)-2-((S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetamide",PAPER,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)N[C@H]4COCCOCCOCC(=O)N[C@H](C(=O)N5C[C@@H](C[C@H]5C(=O)NCC6=C(C=C(C=C6)C7=C(N=CS7)C)OCCOCCOC4)O)C(C)(C)C)C8=CC=C(C=C8)Cl)C,PUBCHEM,GMEHQGWGMMKWAX-NIQMDXQVSA-N,PUBCHEM,Brd2,VHL,Western Blot,HeLa,>125,nM,,,,,GMEHQGWGMMKWAX
10.1002/anie.201914396,MacroPROTAC-1,"N-((2R,6S,18S,33aS)-6-(tert-butyl)-2-hydroxy-28-(4-methylthiazol-5-yl)-5,8,33-trioxo-2,3,6,7,8,9,11,12,14,15,18,19,21,22,24,25,31,32,33,33a-icosahydro-1H,5H,17H-benzo[r]pyrrolo[1,2-m][1,4,7,20,23,26]hexaoxa[10,13,16]triazacyclononacosin-18-yl)-2-((S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetamide",PAPER,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)N[C@H]4COCCOCCOCC(=O)N[C@H](C(=O)N5C[C@@H](C[C@H]5C(=O)NCC6=C(C=C(C=C6)C7=C(N=CS7)C)OCCOCCOC4)O)C(C)(C)C)C8=CC=C(C=C8)Cl)C,PUBCHEM,GMEHQGWGMMKWAX-NIQMDXQVSA-N,PUBCHEM,Brd3,VHL,Western Blot,HeLa,>125,nM,,,,,GMEHQGWGMMKWAX
10.1002/anie.201914396,MacroPROTAC-1,"N-((2R,6S,18S,33aS)-6-(tert-butyl)-2-hydroxy-28-(4-methylthiazol-5-yl)-5,8,33-trioxo-2,3,6,7,8,9,11,12,14,15,18,19,21,22,24,25,31,32,33,33a-icosahydro-1H,5H,17H-benzo[r]pyrrolo[1,2-m][1,4,7,20,23,26]hexaoxa[10,13,16]triazacyclononacosin-18-yl)-2-((S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetamide",PAPER,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)N[C@H]4COCCOCCOCC(=O)N[C@H](C(=O)N5C[C@@H](C[C@H]5C(=O)NCC6=C(C=C(C=C6)C7=C(N=CS7)C)OCCOCCOC4)O)C(C)(C)C)C8=CC=C(C=C8)Cl)C,PUBCHEM,GMEHQGWGMMKWAX-NIQMDXQVSA-N,PUBCHEM,Brd4,VHL,Western Blot,HeLa,25-125,nM,,,,,GMEHQGWGMMKWAX
10.1002/anie.201914396,MacroPROTAC-1,"N-((2R,6S,18S,33aS)-6-(tert-butyl)-2-hydroxy-28-(4-methylthiazol-5-yl)-5,8,33-trioxo-2,3,6,7,8,9,11,12,14,15,18,19,21,22,24,25,31,32,33,33a-icosahydro-1H,5H,17H-benzo[r]pyrrolo[1,2-m][1,4,7,20,23,26]hexaoxa[10,13,16]triazacyclononacosin-18-yl)-2-((S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetamide",PAPER,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)N[C@H]4COCCOCCOCC(=O)N[C@H](C(=O)N5C[C@@H](C[C@H]5C(=O)NCC6=C(C=C(C=C6)C7=C(N=CS7)C)OCCOCCOC4)O)C(C)(C)C)C8=CC=C(C=C8)Cl)C,PUBCHEM,GMEHQGWGMMKWAX-NIQMDXQVSA-N,PUBCHEM,Brd4,VHL,Western Blot,22RV1,,,,>90,4.0,250 nM,GMEHQGWGMMKWAX
10.1002/anie.202101864,MD13,"8-((2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)amino)-N-(4-(7-hydroxy-2-oxo-2H-benzo[e][1,3]oxazin-3(4H)-yl)phenyl)octanamide ",PAPER,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)NCCCCCCCC(=O)NC4=CC=C(C=C4)N5CC6=C(C=C(C=C6)O)OC5=O,PUBCHEM,HAHDZDUOFHMMEA-UHFFFAOYSA-N,PUBCHEM,MIF,Cereblon,Western Blot,A549,~100,nM,12,90–95,12.0,>1 μM,HAHDZDUOFHMMEA
10.1002/anie.202101864,MD9,"7-((2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)amino)-N-(4-(7-hydroxy-2-oxo-2H-benzo[e][1,3]oxazin-3(4H)-yl)phenyl)heptanamide",PAPER,O=C1NC(CCC1N1C(C2=CC=CC(=C2C1=O)NCCCCCCC(=O)NC1=CC=C(C=C1)N1C(OC2=C(C1)C=CC(=C2)O)=O)=O)=O,OPSIN,NQPSGZCAWSOJJH-UHFFFAOYSA-N,OPSIN,MIF,Cereblon,ELISA + Western Blot,A549,~1500,nM,12,> 90,12.0,,NQPSGZCAWSOJJH
10.1002/anie.202101864,MD13,"8-((2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)amino)-N-(4-(7-hydroxy-2-oxo-2H-benzo[e][1,3]oxazin-3(4H)-yl)phenyl)octanamide ",PAPER,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)NCCCCCCCC(=O)NC4=CC=C(C=C4)N5CC6=C(C=C(C=C6)O)OC5=O,PUBCHEM,HAHDZDUOFHMMEA-UHFFFAOYSA-N,PUBCHEM,MIF,Cereblon,ELISA,A549,~200,nM,,,,,HAHDZDUOFHMMEA
10.1016/j.apsb.2023.01.014,D15,"3-(1-(3-(5-((1-(2-(4-(2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)piperazin-1-yl)-2-oxoethyl)piperidin-4-yl)methoxy) pyrimidin-2-yl)benzyl)-6-oxo-1,6-dihydropyridazin-3-yl)benzonitrile",PAPER,O=C1NC(CCC1N1C(C2=CC=C(C=C2C1=O)N1CCN(CC1)C(CN1CCC(CC1)COC=1C=NC(=NC1)C=1C=C(CN2N=C(C=CC2=O)C=2C=C(C#N)C=CC2)C=CC1)=O)=O)=O,OPSIN,ONBFXZQYDXKUOB-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,Hs746T,0.35 ± 0.08,nmol/L,72,>99,72.0,,ONBFXZQYDXKUOB
10.1016/j.apsb.2023.01.014,D15,"3-(1-(3-(5-((1-(2-(4-(2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)piperazin-1-yl)-2-oxoethyl)piperidin-4-yl)methoxy) pyrimidin-2-yl)benzyl)-6-oxo-1,6-dihydropyridazin-3-yl)benzonitrile",PAPER,O=C1NC(CCC1N1C(C2=CC=C(C=C2C1=O)N1CCN(CC1)C(CN1CCC(CC1)COC=1C=NC(=NC1)C=1C=C(CN2N=C(C=CC2=O)C=2C=C(C#N)C=CC2)C=CC1)=O)=O)=O,OPSIN,ONBFXZQYDXKUOB-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,EBC-1,0.44 ± 0.11,nmol/L,72,>99,72.0,,ONBFXZQYDXKUOB
10.1016/j.apsb.2023.01.014,D14,"3-(1-(3-(5-((1-(2-(4-(2-((2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)amino)ethyl)piperazin-1-yl)-2-oxoethyl)piperidin-4-yl)methoxy)pyrimidin-2-yl)benzyl)-6-oxo-1,6-dihydropyridazin-3-yl)benzonitrile",PAPER,O=C1NC(CCC1N1C(C2=CC=C(C=C2C1=O)NCCN1CCN(CC1)C(CN1CCC(CC1)COC=1C=NC(=NC1)C=1C=C(CN2N=C(C=CC2=O)C=2C=C(C#N)C=CC2)C=CC1)=O)=O)=O,OPSIN,USNPVGJUXHCJDF-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,Hs746T,0.60 ± 0.15,nmol/L,72,>99,72.0,,USNPVGJUXHCJDF
