DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
10.1038/s42003-020-0868-6,4,"(S)-N-((S)-1-(1-(2-(4-(2-((6-(tert-Butylsulfonyl)-4-((4,5-dimethyl-1H-pyrazol-3-yl)amino)quinazolin-7-yl)oxy)ethyl)piperazin-1-yl)pyrimidine-5-carbonyl)piperidin-4-yl)-2-((S)-2-(4-(4-fluorobenzoyl)thiazol-2-yl)pyrrolidin-1-yl)-2-oxoethyl)-2-(methylamino)propanamide",C(C)(C)(C)S(=O)(=O)C=1C=C2C(=NC=NC2=CC1OCCN1CCN(CC1)C1=NC=C(C=N1)C(=O)N1CCC(CC1)[C@@H](C(=O)N1[C@@H](CCC1)C=1SC=C(N1)C(C1=CC=C(C=C1)F)=O)NC([C@H](C)NC)=O)NC1=NNC(=C1C)C,OPSIN,RIPK2,IAP,Simple Western immunoassay (capillary-based),human PBMCs,12.6,nM,24,69.2±11.5,24,,HZMQXNZSFFXKMT-LCPJFFRWSA-N,OPSIN,,HZMQXNZSFFXKMT
10.1038/s42003-020-0868-6,6,"5-(4-(3-((6-(tert-Butylsulfonyl)-4-((4,5-dimethyl-1H-pyrazol-3-yl)amino)quinazolin-7-yl)oxy)propyl)piperazin-1-yl)-N-((3S,5S)-5-((2,6-difluorophenyl)carbamoyl)-1-((S)-3,3-dimethyl-2-((S)-2-(methylamino)propanamido)butanoyl)pyrrolidin-3-yl)pyrazine-2-carboxamide",C(C)(C)(C)S(=O)(=O)C=1C=C2C(=NC=NC2=CC1OCCCN1CCN(CC1)C=1N=CC(=NC1)C(=O)N[C@@H]1CN([C@@H](C1)C(NC1=C(C=CC=C1F)F)=O)C([C@H](C(C)(C)C)NC([C@H](C)NC)=O)=O)NC1=NNC(=C1C)C,OPSIN,RIPK2,IAP,Simple Western immunoassay (capillary-based),human PBMCs,0.4,nM,24,94.3±3.2,24,,CHNBEZLJAQUZEX-LFRONEFISA-N,OPSIN,,CHNBEZLJAQUZEX
10.1038/s42003-020-0868-6,2,"(S)-7-(2-(2-(2-(2-((4-(benzo[d]thiazol-5-ylamino)-6-(tert-butylsulfonyl)quinolin-7-yl)oxy)ethoxy)ethoxy)ethoxy)ethoxy)-2-((S)-3,3-dimethyl-2-((S)-2-(methylamino)propanamido)butanoyl)-N-((R)-1,2,3,4-tetrahydronaphthalen-1-yl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide, 2Hydrochloride",,,RIPK2,IAP,Capillary-based immunoassay (Simple Western),THP-1,0.4,nM,18,,,,,,,
10.1038/s42003-020-0868-6,1,,,,RIPK2,VHL,Capillary-based immunoassay (Simple Western),THP-1,2.0,nM,18,,,,,,,
10.1038/s42003-020-0868-6,3,"(S)-14-((4-(Benzo[d]thiazol-5-ylamino)-6-(tert-butylsulfonyl)quinolin-7-yl)oxy)-N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-4-yl)-3,6,9,12-tetraoxatetradecan-1-amide",S1C=NC2=C1C=CC(=C2)NC2=CC=NC1=CC(=C(C=C21)S(=O)(=O)C(C)(C)C)OCCOCCOCCOCCOCC(=O)NC2=C1CN(C(C1=CC=C2)=O)[C@@H]2C(NC(CC2)=O)=O,OPSIN,RIPK2,cereblon,Capillary-based immunoassay (Simple Western),THP-1,2.5,nM,18,,,,BRZGXSNAXRPPFI-DHUJRADRSA-N,OPSIN,,BRZGXSNAXRPPFI
10.1021/acs.jmedchem.8b01413,26,"(2S,4R)-N-(2-(2-(2-(2-(4-(2,6-Dimethoxy-4-(2-methyl-1-oxo-1,2-dihydro-2,7-naphthyridin-4-yl)benzyl)piperazin-1-yl)ethoxy)ethoxy)ethoxy)-4-(4-methylthiazol-5-yl)benzyl)-1-((S)-2-(1-fluorocyclopropane-1-carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",COC1=C(CN2CCN(CC2)CCOCCOCCOC2=C(CNC(=O)[C@H]3N(C[C@@H](C3)O)C([C@H](C(C)(C)C)NC(=O)C3(CC3)F)=O)C=CC(=C2)C2=C(N=CS2)C)C(=CC(=C1)C1=CN(C(C2=CN=CC=C12)=O)C)OC,OPSIN,BRD9,VHL,Western blot quantification,HeLa,560,nM,,~80,,10 μM,MXAKQOVZPDLCDK-UDVNCTHFSA-N,OPSIN,,MXAKQOVZPDLCDK
10.1021/acs.jmedchem.8b01413,VZ185,"(2S,4R)-N-(2-((5-(4-(2,6-Dimethoxy-4-(2-methyl-1-oxo-1,2-dihydro-2,7-naphthyridin-4-yl)benzyl)piperazin-1-yl)pentyl)oxy)-4-(4-methylthiazol-5-yl)benzyl)-1-((S)-2-(1-fluorocyclopropane-1-carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",COC1=C(CN2CCN(CC2)CCCCCOC2=C(CNC(=O)[C@H]3N(C[C@@H](C3)O)C([C@H](C(C)(C)C)NC(=O)C3(CC3)F)=O)C=CC(=C2)C2=C(N=CS2)C)C(=CC(=C1)C1=CN(C(C2=CN=CC=C12)=O)C)OC,OPSIN,BRD9,VHL,Western blot quantification,RI-1,1.76,nM,8 h,,,10–100 nM,ZAGCLFXBHOXXEN-JPTLTNPLSA-N,OPSIN,,ZAGCLFXBHOXXEN
10.1021/acs.jmedchem.8b01413,VZ185,"(2S,4R)-N-(2-((5-(4-(2,6-Dimethoxy-4-(2-methyl-1-oxo-1,2-dihydro-2,7-naphthyridin-4-yl)benzyl)piperazin-1-yl)pentyl)oxy)-4-(4-methylthiazol-5-yl)benzyl)-1-((S)-2-(1-fluorocyclopropane-1-carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",COC1=C(CN2CCN(CC2)CCCCCOC2=C(CNC(=O)[C@H]3N(C[C@@H](C3)O)C([C@H](C(C)(C)C)NC(=O)C3(CC3)F)=O)C=CC(=C2)C2=C(N=CS2)C)C(=CC(=C1)C1=CN(C(C2=CN=CC=C12)=O)C)OC,OPSIN,BRD7,VHL,Western blot quantification,RI-1,4.5,nM,8 h,,,0.1–1 μM,ZAGCLFXBHOXXEN-JPTLTNPLSA-N,OPSIN,,ZAGCLFXBHOXXEN
10.1021/acs.jmedchem.8b01413,VZ185,"(2S,4R)-N-(2-((5-(4-(2,6-Dimethoxy-4-(2-methyl-1-oxo-1,2-dihydro-2,7-naphthyridin-4-yl)benzyl)piperazin-1-yl)pentyl)oxy)-4-(4-methylthiazol-5-yl)benzyl)-1-((S)-2-(1-fluorocyclopropane-1-carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",COC1=C(CN2CCN(CC2)CCCCCOC2=C(CNC(=O)[C@H]3N(C[C@@H](C3)O)C([C@H](C(C)(C)C)NC(=O)C3(CC3)F)=O)C=CC(=C2)C2=C(N=CS2)C)C(=CC(=C1)C1=CN(C(C2=CN=CC=C12)=O)C)OC,OPSIN,BRD9,VHL,HiBiT live-cell luminescent degradation assay,HEK293,4,nM,,,,,ZAGCLFXBHOXXEN-JPTLTNPLSA-N,OPSIN,,ZAGCLFXBHOXXEN
10.1021/acs.jmedchem.8b01413,VZ185,"(2S,4R)-N-(2-((5-(4-(2,6-Dimethoxy-4-(2-methyl-1-oxo-1,2-dihydro-2,7-naphthyridin-4-yl)benzyl)piperazin-1-yl)pentyl)oxy)-4-(4-methylthiazol-5-yl)benzyl)-1-((S)-2-(1-fluorocyclopropane-1-carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",COC1=C(CN2CCN(CC2)CCCCCOC2=C(CNC(=O)[C@H]3N(C[C@@H](C3)O)C([C@H](C(C)(C)C)NC(=O)C3(CC3)F)=O)C=CC(=C2)C2=C(N=CS2)C)C(=CC(=C1)C1=CN(C(C2=CN=CC=C12)=O)C)OC,OPSIN,BRD7,VHL,HiBiT live-cell luminescent degradation assay,HEK293,34,nM,,,,,ZAGCLFXBHOXXEN-JPTLTNPLSA-N,OPSIN,,ZAGCLFXBHOXXEN
