Verification_Results,Record_ID,Compound_ID,Compound_Name,SMILES,InChI,InChIKey,Degradation_Target,Target_Uniprot,Recruiter,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
Name Mismatch,3558,714,,O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCOCCOCCOCCNC(=O)C4=CC=C(CN(CC5CCNCC5)S(=O)(=O)C5=CC=C(S(=O)(=O)N(CC6=CC=C(Cl)C=C6)C6CCCC6)C=C5)C=C4)=C3C2=O)C(=O)N1,"InChI=1S/C55H68ClN7O13S2/c56-43-14-10-40(11-15-43)38-62(44-4-1-2-5-44)78(71,72)46-18-16-45(17-19-46)77(69,70)61(37-41-22-24-57-25-23-41)36-39-8-12-42(13-9-39)52(65)59-27-29-74-31-33-76-35-34-75-32-30-73-28-26-58-48-7-3-6-47-51(48)55(68)63(54(47)67)49-20-21-50(64)60-53(49)66/h3,6-19,41,44,49,57-58H,1-2,4-5,20-38H2,(H,59,65)(H,60,64,66)",OWYXKRGXEAHYMU-UHFFFAOYSA-N,PDEdelta,O43924,CRBN,Panc Tu-I,,48,nM,24.0,83.4,24,,10.1002/anie.201913904,OWYXKRGXEAHYMU
Image,8194,4269,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@H](O)CN3C(=O)[C@@H](NC(=O)COCCCCCCOC3=CC=C(C4CCN(C5=NN6C(=NN=C6C(F)(F)F)CC5)CC4)C=C3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C47H60F3N9O6S/c1-30-41(66-29-52-30)34-11-9-31(10-12-34)26-51-43(62)37-25-35(60)27-58(37)44(63)42(46(2,3)4)53-40(61)28-64-23-7-5-6-8-24-65-36-15-13-32(14-16-36)33-19-21-57(22-20-33)39-18-17-38-54-55-45(47(48,49)50)59(38)56-39/h9-16,29,33,35,37,42,60H,5-8,17-28H2,1-4H3,(H,51,62)(H,53,61)/t35-,37-,42+/m0/s1",XXORMIPKQOJWQL-FFHGCIBJSA-N,AR,P10275,VHL,CWR22Rv1,,6640,nM,24.0,96,24,,10.1016/j.ebiom.2023.104500,XXORMIPKQOJWQL
Image,8198,4270,,O=C1CCC(N2CC3=C(NC(=O)COCCCCOC4=CC=C(C5CCN(C6=NN7C(=NN=C7C(F)(F)F)CC6)CC5)C=C4)C=CC=C3C2=O)C(=O)N1,"InChI=1S/C36H39F3N8O6/c37-36(38,39)35-43-42-29-11-12-30(44-47(29)35)45-16-14-23(15-17-45)22-6-8-24(9-7-22)53-19-2-1-18-52-21-32(49)40-27-5-3-4-25-26(27)20-46(34(25)51)28-10-13-31(48)41-33(28)50/h3-9,23,28H,1-2,10-21H2,(H,40,49)(H,41,48,50)",LCTDAEHHXXZLPR-UHFFFAOYSA-N,AR-V7,P10275,CRBN,CWR22Rv1,,11,nM,24.0,91,24,,10.1016/j.ebiom.2023.104500,LCTDAEHHXXZLPR
Image,8194,4269,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@H](O)CN3C(=O)[C@@H](NC(=O)COCCCCCCOC3=CC=C(C4CCN(C5=NN6C(=NN=C6C(F)(F)F)CC5)CC4)C=C3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C47H60F3N9O6S/c1-30-41(66-29-52-30)34-11-9-31(10-12-34)26-51-43(62)37-25-35(60)27-58(37)44(63)42(46(2,3)4)53-40(61)28-64-23-7-5-6-8-24-65-36-15-13-32(14-16-36)33-19-21-57(22-20-33)39-18-17-38-54-55-45(47(48,49)50)59(38)56-39/h9-16,29,33,35,37,42,60H,5-8,17-28H2,1-4H3,(H,51,62)(H,53,61)/t35-,37-,42+/m0/s1",XXORMIPKQOJWQL-FFHGCIBJSA-N,AR,P10275,VHL,LNCaP,,6100,nM,24.0,71,24,,10.1016/j.ebiom.2023.104500,XXORMIPKQOJWQL
Image,8187,4268,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCCOC3=CC=C(C4CCN(C5=NN6C(=NN=C6C(F)(F)F)CC5)CC4)C=C3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C45H56F3N9O6S/c1-28-39(64-27-50-28)32-9-7-29(8-10-32)24-49-41(60)35-23-33(58)25-56(35)42(61)40(44(2,3)4)51-38(59)26-62-21-5-6-22-63-34-13-11-30(12-14-34)31-17-19-55(20-18-31)37-16-15-36-52-53-43(45(46,47)48)57(36)54-37/h7-14,27,31,33,35,40,58H,5-6,15-26H2,1-4H3,(H,49,60)(H,51,59)/t33-,35+,40-/m1/s1",BLWSMGOTKQNWIF-LJWMJXRYSA-N,AR,P10275,VHL,VCaP,,8670,nM,24.0,90,24,,10.1016/j.ebiom.2023.104500,BLWSMGOTKQNWIF
Image,8197,4270,,O=C1CCC(N2CC3=C(NC(=O)COCCCCOC4=CC=C(C5CCN(C6=NN7C(=NN=C7C(F)(F)F)CC6)CC5)C=C4)C=CC=C3C2=O)C(=O)N1,"InChI=1S/C36H39F3N8O6/c37-36(38,39)35-43-42-29-11-12-30(44-47(29)35)45-16-14-23(15-17-45)22-6-8-24(9-7-22)53-19-2-1-18-52-21-32(49)40-27-5-3-4-25-26(27)20-46(34(25)51)28-10-13-31(48)41-33(28)50/h3-9,23,28H,1-2,10-21H2,(H,40,49)(H,41,48,50)",LCTDAEHHXXZLPR-UHFFFAOYSA-N,AR,P10275,CRBN,CWR22Rv1,,110,nM,24.0,74,24,,10.1016/j.ebiom.2023.104500,LCTDAEHHXXZLPR
"False Negative, Inference",534,22,VZ185,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCCCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1,"InChI=1S/C53H67FN8O8S/c1-33-46(71-32-57-33)34-11-12-35(27-56-48(64)42-26-37(63)29-62(42)50(66)47(52(2,3)4)58-51(67)53(54)14-15-53)43(23-34)70-22-10-8-9-17-60-18-20-61(21-19-60)31-41-44(68-6)24-36(25-45(41)69-7)40-30-59(5)49(65)39-28-55-16-13-38(39)40/h11-13,16,23-25,28,30,32,37,42,47,63H,8-10,14-15,17-22,26-27,29,31H2,1-7H3,(H,56,64)(H,58,67)/t37-,42+,47-/m1/s1",ZAGCLFXBHOXXEN-JPTLTNPLSA-N,BRD9,Q9H8M2,VHL,EOL-1,,2,nM,18.0,,,,10.1021/acs.jmedchem.8b01413,ZAGCLFXBHOXXEN
False Negative,1578,184,SJF-6696,COC1=CC2=C(OC3=CC=C(NC(=O)C4(C(=O)NC5=CC=C(F)C=C5)CC4)C=C3F)C=CN=C2C=C1OCCCCOCCCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C,"InChI=1S/C59H67F2N7O11S/c1-36-52(80-35-64-36)38-12-10-37(11-13-38)32-63-54(71)46-29-42(69)33-68(46)55(72)53(58(2,3)4)67-51(70)34-77-26-7-6-24-76-25-8-9-27-78-50-31-45-43(30-49(50)75-5)47(20-23-62-45)79-48-19-18-41(28-44(48)61)66-57(74)59(21-22-59)56(73)65-40-16-14-39(60)15-17-40/h10-20,23,28,30-31,35,42,46,53,69H,6-9,21-22,24-27,29,32-34H2,1-5H3,(H,63,71)(H,65,73)(H,66,74)(H,67,70)/t42-,46+,53-/m1/s1",GXDYWQXTEYENEU-WFYKIECOSA-N,p38alpha,Q16539,VHL,MDA-MB-231,,9.5,nM,,99.6,,,10.1038/s41467-018-08027-7,GXDYWQXTEYENEU
False Negative,1597,188,SJF-6685,COC1=CC2=C(OC3=CC=C(NC(=O)C4(C(=O)NC5=CC=C(F)C=C5)CC4)C=C3F)C=CN=C2C=C1OCCCOCCCOCCCOC1=CC(C2=C(C)N=CS2)=CC=C1CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](C(C)C)N1CC2=CC=CC=C2C1=O,"InChI=1S/C65H69F2N7O12S/c1-39(2)58(74-36-43-10-5-6-11-48(43)61(74)77)62(78)73-37-47(75)32-52(73)60(76)69-35-42-13-12-41(59-40(3)70-38-87-59)30-55(42)84-28-8-26-82-24-7-25-83-27-9-29-85-57-34-51-49(33-56(57)81-4)53(20-23-68-51)86-54-19-18-46(31-50(54)67)72-64(80)65(21-22-65)63(79)71-45-16-14-44(66)15-17-45/h5-6,10-20,23,30-31,33-34,38-39,47,52,58,75H,7-9,21-22,24-29,32,35-37H2,1-4H3,(H,69,76)(H,71,79)(H,72,80)/t47-,52+,58+/m1/s1",LVQCYBJKHQGJSR-LVSOZEIGSA-N,p38alpha,O15264,VHL,MDA-MB-231,,1140,nM,,33.5,,,10.1038/s41467-018-08027-7,LVQCYBJKHQGJSR
Image,7027,3213,PPC5,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C79H99ClF3N11O11S4/c1-53(55-15-17-57(18-16-55)72-54(2)84-52-107-72)85-75(99)68-45-63(95)49-94(68)76(100)73(77(3,4)5)87-70(96)13-10-14-71(97)93-39-35-91(36-40-93)51-78(6)31-29-66(56-19-23-60(80)24-20-56)59(47-78)48-90-33-37-92(38-34-90)62-25-21-58(22-26-62)74(98)88-109(103,104)65-27-28-67(69(46-65)108(101,102)79(81,82)83)86-61(30-32-89-41-43-105-44-42-89)50-106-64-11-8-7-9-12-64/h7-9,11-12,15-28,46,52-53,61,63,68,73,86,95H,10,13-14,29-45,47-51H2,1-6H3,(H,85,99)(H,87,96)(H,88,98)/t53-,61+,63+,68-,73+,78?/m0/s1",BRIZMACXBJUXJT-UWPVXNPMSA-N,BCL2,P10415,VHL,293T,,,,,47,16 h,,10.1038/s41467-021-27210-x,BRIZMACXBJUXJT
