Verification_Results,DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
False,10.1016/j.apsb.2020.11.009,7b,,,,Bcr-AblT315I,CRBN,Western blot,Ba/F3 Bcr-AblT315I,,,,9.18,,100 nmol/L,,,,
"False, Inference",10.1016/j.chembiol.2020.04.003,dTAG7,,,,SLC38A2,CRBN,immunofluorescence imaging,HAP1,,,,100,2 h,,,,,
True,10.1016/j.crchbi.2022.100029,PS-2,"2-(2,6-Dioxopiperidin-3-yl)-4-((2-oxo-2-(4-(4-((4-phenoxypyrimidin-2-yl)amino)phenyl)piperazin-1-yl)ethyl)amino)isoindoline-1,3-dione",O=C1NC(CCC1N1C(C2=CC=CC(=C2C1=O)NCC(N1CCN(CC1)C1=CC=C(C=C1)NC1=NC=CC(=N1)OC1=CC=CC=C1)=O)=O)=O,OPSIN,IKZF3,Cereblon (CRBN),NanoLuc degradation kinetics,HEK-293T (IKZF3-nLuc),,,,75,,40 nM,PUHLKRVCVUMPPV-UHFFFAOYSA-N,OPSIN,,PUHLKRVCVUMPPV
True,10.1016/j.crchbi.2022.100029,PS-2,"2-(2,6-Dioxopiperidin-3-yl)-4-((2-oxo-2-(4-(4-((4-phenoxypyrimidin-2-yl)amino)phenyl)piperazin-1-yl)ethyl)amino)isoindoline-1,3-dione",O=C1NC(CCC1N1C(C2=CC=CC(=C2C1=O)NCC(N1CCN(CC1)C1=CC=C(C=C1)NC1=NC=CC(=N1)OC1=CC=CC=C1)=O)=O)=O,OPSIN,IKZF1,Cereblon (CRBN),NanoLuc degradation kinetics,HEK-293T (IKZF1-nLuc),,,,89,,200 nM,PUHLKRVCVUMPPV-UHFFFAOYSA-N,OPSIN,,PUHLKRVCVUMPPV
True,10.1016/j.crchbi.2022.100029,PS-1,"2-(2,6-Dioxopiperidin-3-yl)-4-((2-oxo-2-(4-(4-((4-phenoxyfuro[3,2-d]pyrimidin-2-yl)amino)phenyl)piperazin-1-yl)ethyl)amino)isoindoline-1,3-dione",O=C1NC(CCC1N1C(C2=CC=CC(=C2C1=O)NCC(N1CCN(CC1)C1=CC=C(C=C1)NC=1N=C(C2=C(N1)C=CO2)OC2=CC=CC=C2)=O)=O)=O,OPSIN,IKZF3,Cereblon (CRBN),NanoLuc degradation kinetics,HEK-293T (IKZF3-nLuc),,,,88,,200 nM,DJYSLECQEDWOEW-UHFFFAOYSA-N,OPSIN,,DJYSLECQEDWOEW
True,10.1016/j.crchbi.2022.100029,CC220,"(3S)-3-[7-[[4-(morpholin-4-ylmethyl)phenyl]methoxy]-3-oxo-1H-isoindol-2-yl]piperidine-2,6-dione",C1CC(=O)NC(=O)[C@H]1N2CC3=C(C2=O)C=CC=C3OCC4=CC=C(C=C4)CN5CCOCC5,PUBCHEM,IKZF1,Cereblon (CRBN),Western blot,Mino,3.1,nM,24,95,24,,IXZOHGPZAQLIBH-NRFANRHFSA-N,PUBCHEM,PUBCHEM,IXZOHGPZAQLIBH
True,10.1016/j.crchbi.2022.100029,PS-RC-1,"(E)-2-cyano-N-(3-((2-((4-(4-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)glycyl)piperazin-1-yl) phenyl)amino)furo[3,2-d]pyrimidin-4-yl)oxy)phenyl)-4,4-dimethylpent-2-enamide",C(#N)/C(/C(=O)NC1=CC(=CC=C1)OC=1C2=C(N=C(N1)NC1=CC=C(C=C1)N1CCN(CC1)C(CNC1=C3C(N(C(C3=CC=C1)=O)C1C(NC(CC1)=O)=O)=O)=O)C=CO2)=C\C(C)(C)C,OPSIN,IKZF1,Cereblon (CRBN),Western blot,Mino,802,nM,24,62,24,,JCCULZKLJDDLMJ-WNAAXNPUSA-N,OPSIN,,JCCULZKLJDDLMJ
True,10.1016/j.crchbi.2022.100029,PS-RC-1,"(E)-2-cyano-N-(3-((2-((4-(4-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)glycyl)piperazin-1-yl) phenyl)amino)furo[3,2-d]pyrimidin-4-yl)oxy)phenyl)-4,4-dimethylpent-2-enamide",C(#N)/C(/C(=O)NC1=CC(=CC=C1)OC=1C2=C(N=C(N1)NC1=CC=C(C=C1)N1CCN(CC1)C(CNC1=C3C(N(C(C3=CC=C1)=O)C1C(NC(CC1)=O)=O)=O)=O)C=CO2)=C\C(C)(C)C,OPSIN,IKZF1,Cereblon (CRBN),NanoLuc degradation kinetics,HEK-293T (IKZF1-nLuc),,,,60,,40 nM,JCCULZKLJDDLMJ-WNAAXNPUSA-N,OPSIN,,JCCULZKLJDDLMJ
True,10.1016/j.crchbi.2022.100029,PS-RC-1,"(E)-2-cyano-N-(3-((2-((4-(4-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)glycyl)piperazin-1-yl) phenyl)amino)furo[3,2-d]pyrimidin-4-yl)oxy)phenyl)-4,4-dimethylpent-2-enamide",C(#N)/C(/C(=O)NC1=CC(=CC=C1)OC=1C2=C(N=C(N1)NC1=CC=C(C=C1)N1CCN(CC1)C(CNC1=C3C(N(C(C3=CC=C1)=O)C1C(NC(CC1)=O)=O)=O)=O)C=CO2)=C\C(C)(C)C,OPSIN,IKZF1,Cereblon (CRBN),NanoLuc degradation kinetics,HEK-293T (IKZF1-nLuc),,,,80,,200 nM,JCCULZKLJDDLMJ-WNAAXNPUSA-N,OPSIN,,JCCULZKLJDDLMJ
True,10.1016/j.crchbi.2022.100029,PS-4,"4-((2-(4-(4-Aminophenyl)piperazin-1-yl)-2-oxoethyl)amino)-2-(2,6-dioxopiperidin-3-yl)isoindoline-1,3-dione",NC1=CC=C(C=C1)N1CCN(CC1)C(CNC1=C2C(N(C(C2=CC=C1)=O)C1C(NC(CC1)=O)=O)=O)=O,OPSIN,IKZF1,Cereblon (CRBN),NanoLuc degradation kinetics,HEK-293T (IKZF1-nLuc),,,,20,,40 nM,OVKZPDGYZXMDOK-UHFFFAOYSA-N,OPSIN,,OVKZPDGYZXMDOK
